2036 Seminar Nonprofit Fair: 2016-17,681,5,6,Service Learning Academy,Summer,1,1,0,0,0,0,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
2037 Seminar Nonprofit Fair: 2016-17,680,5,6,Service Learning Academy,Summer,1,1,0,0,0,0,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
2038 Seminar Nonprofit Fair: 2016-17,679,5,6,Service Learning Academy,Summer,1,1,0,0,0,0,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
2039 Seminar Nonprofit Fair: 2016-17,678,5,6,Service Learning Academy,Summer,1,1,0,0,0,0,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
2040 Seminar Nonprofit Fair: 2016-17,677,5,6,Service Learning Academy,Summer,1,3,0,0,0,0,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
2041 Seminar Nonprofit Fair: 2016-17,676,5,6,Service Learning Academy,Summer,1,3,0,0,0,0,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
2042 Seminar Nonprofit Fair: 2016-17,675,5,6,Service Learning Academy,Summer,1,3,0,0,0,0,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
2043 Seminar Nonprofit Fair: 2016-17,674,5,6,Service Learning Academy,Summer,1,3,0,0,0,0,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
2044 Seminar Nonprofit Fair: 2016-17,673,5,6,Service Learning Academy,Summer,1,3,0,0,0,0,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Adopt a Classroom: 2016-17 (001),639,5,6,Service Learning Academy,Fall,1,3,16,56,40,40,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Adopt a Classroom: 2016-17 (002),638,5,6,Service Learning Academy,Spring,1,3,16,56,45,90,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
American Family Problems: 2016-17,633,5,6,Service Learning Academy,Fall,1,3,6,120,0,0,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
