name,college_name,university,education_system,weitz_cec_part
Sigma Phi Omega Honor Society,College of Public Affairs and Community Service,University of Nebraska Omaha,Nebraska Edu,No
Social Media Lab,Student Organizations,University of Nebraska Omaha,Nebraska Edu,No
"Sociology & Anthropology, Department of",College of Arts and Sciences,University of Nebraska Omaha,Nebraska Edu,No
Spanish Club,Student Organizations,University of Nebraska Omaha,Nebraska Edu,No
"Special Education and Communication Disorders, Department of",College of Education,University of Nebraska Omaha,Nebraska Edu,No
"Spirituality, Public Health, Religious Studies (SPHRS)",College of Arts and Sciences,University of Nebraska Omaha,Nebraska Edu,Yes
Staff Advisory Council,University,University of Nebraska Omaha,Nebraska Edu,No
"STEM Education, Office of",College of Education,University of Nebraska Omaha,Nebraska Edu,No
Student Council for Exceptional Children (SCEC),College of Education,University of Nebraska Omaha,Nebraska Edu,No
Student Veterans Organization,Student Organizations,University of Nebraska Omaha,Nebraska Edu,No
Success Academy,Division of Student Success,University of Nebraska Omaha,Nebraska Edu,Yes
Summer Scholars,Division of Student Success,University of Nebraska Omaha,Nebraska Edu,No
Support and Training for the Evaluation of Programs (STEPs),College of Public Affairs and Community Service,University of Nebraska Omaha,Nebraska Edu,Yes
"Sustainability, Office of",Division of Student Success,University of Nebraska Omaha,Nebraska Edu,Yes
Sustained Dialogue,Student Organizations,University of Nebraska Omaha,Nebraska Edu,No
"Teacher Education, Department of",College of Education,University of Nebraska Omaha,Nebraska Edu,No
The Goodrich Scholarship Program,College of Public Affairs and Community Service,University of Nebraska Omaha,Nebraska Edu,No
The Transitions Program,University,University of Nebraska Omaha,Nebraska Edu,Yes
Theta Chi,Student Organizations,University of Nebraska Omaha,Nebraska Edu,No
Thompson Learning Community,Academic Affairs,University of Nebraska Omaha,Nebraska Edu,No
Tribal Management and Emergency Services (TMES),College of Public Affairs and Community Service,University of Nebraska Omaha,Nebraska Edu,Yes
University Housing,Division of Student Success,University of Nebraska Omaha,Nebraska Edu,No
UNO/OPS Middle College,College of Education,University of Nebraska Omaha,Nebraska Edu,No
Volunteer Program Assessment-UNO (VPA-UNO),College of Arts and Sciences,University of Nebraska Omaha,Nebraska Edu,Yes
William Brennan Institute for Labor Studies (WBILS),College of Public Affairs and Community Service,University of Nebraska Omaha,Nebraska Edu,Yes
WiSTEM Pro^2,Academic Affairs,University of Nebraska Omaha,Nebraska Edu,No
"Women and Gender Studies, Department of",College of Arts and Sciences,University of Nebraska Omaha,Nebraska Edu,No
Women's Tennis Team,Athletics,University of Nebraska Omaha,Nebraska Edu,No
Writing Center,Academic Affairs,University of Nebraska Omaha,Nebraska Edu,No
